Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_index_2,-0.000532826744315235,0.0253434850963997,0.00609291472256712,0,0,0,0.0250372341604781,5.69990838802355E-06,-1.02154681910649E-06,-1.15442049957569E-09,1.00030995132276E-06,-7.61808846285571E-09,5.78651680942991E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_2.STL,,食指尖组合件_R_R-1,l_6,a_6,right_index_2_joint,revolute,0.0034259,0.032596,0.00055,0,0,0,right_index_1,0,0,1,1,2,0,1,,,,,,,,
right_index_force_sensor_2,3.91105790090857E-06,0.000206428506730846,-0.000722888656592813,0,0,0,0.000255748458180208,4.79878645065383E-09,-8.64076408119868E-11,-1.50330115198978E-12,2.43958893457374E-09,-3.05132448820231E-11,7.12570334555721E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_2.STL,,指肚传感器_R_R-1,r_index_force_sensor_2,,right_index_force_sensor_2_joint,fixed,0.0081655,0.037446,0.0060795,1.5708,1.5337,1.222,right_index_2,0,0,0,,,,,,,,,,,,
right_index_force_sensor_3,-2.48722057788475E-05,-0.000345285689256153,-0.00133800038179009,0,0,0,6.79646984897729E-05,1.31974821284448E-10,5.65060068039544E-12,7.79117122469869E-13,2.53430134807533E-10,9.12198063131296E-12,2.8053351791299E-10,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_3.STL,,指尖传感器SZ_R_R-1,r_index_force_sensor_3,,right_index_force_sensor_3_joint,fixed,0.0086237,0.052572,0.0060954,1.5708,1.5252,2.2692,right_index_2,0,0,0,,,,,,,,,,,,
right_index_force_sensor_1,4.50639917341789E-06,0.000116571661332499,-0.000567443126962344,0,0,0,0.00020277926206694,3.38028798502951E-09,-5.04640338896758E-11,-2.15701714440085E-13,1.96412698995832E-09,-5.48195334354589E-12,5.28079732652296E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_index_force_sensor_1.STL,,中节传感_R_R-5,r_index_force_sensor_1,,right_index_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,1.5708,1.5351,1.7829,right_index_1,0,0,0,,,,,,,,,,,,
right_middle_1,0.00219417478814514,0.0127409366268324,0.00664941207814897,0,0,0,0.0182957332737578,3.05536038053959E-06,-1.98142940785918E-07,2.75756484137381E-11,1.48580451806232E-06,-6.6586063990679E-11,3.17206266809936E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_1.STL,,中节组合_R_R-3,l_7,a_7,right_middle_1_joint,revolute,0.00056467,0.0171,0.157,1.5708,0,0,r_base_link,0,0,1,1,2,0,1,,,,,,,,
right_middle_2,9.21583803522863E-05,0.0270332758922563,0.00610054154137712,0,0,0,0.0271522531154338,6.98316675442476E-06,-1.22372418621811E-06,-2.05218003778762E-11,1.10779963705962E-06,-2.15519547730009E-10,7.09922963400464E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_2.STL,,中指指尖组合_R_R-1,l_8,a_8,right_middle_2_joint,revolute,0.0034259,0.032596,0.00055,0,0,0,right_middle_1,0,0,1,1,2,0,1,,,,,,,,
right_middle_force_sensor_2,-3.55652627983399E-07,2.88666331397097E-05,-0.000722235489778011,0,0,0,0.00026259331441686,5.0422606271269E-09,3.96627458520335E-13,-3.26041478715593E-14,2.56807850635635E-09,3.53736208701215E-12,7.49563436241948E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_2.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_2.STL,,中指指肚_R_R-1,r_middle_force_sensor_2,,right_middle_force_sensor_1_joint,fixed,0.0090859,0.040963,0.0061003,0.37285,1.5708,0,right_middle_2,0,0,0,,,,,,,,,,,,
right_middle_force_sensor_3,6.04731043574169E-08,-0.00036544534557964,-0.00127683945630336,0,0,0,6.64914575467581E-05,1.27227764572837E-10,1.0047659074885E-14,8.57880628292354E-15,2.43691164484046E-10,7.61272996067338E-12,2.7587517056304E-10,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_3.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_3.STL,,中指尖传感器_R_R-1,r_middle_force_sensor_3,,right_middle_force_sensor_3_joint,fixed,0.0098294,0.056051,0.0061006,0.67435,1.5708,0,right_middle_2,0,0,0,,,,,,,,,,,,
right_middle_force_sensor_1,3.42843697216655E-07,0.000116657509605184,-0.000567442695803472,0,0,0,0.000202779388301744,3.38208410519618E-09,1.87569574369823E-13,-1.99647221364625E-14,1.96233204624223E-09,-5.48580562274455E-12,5.2807983995112E-09,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_1.STL,1,1,1,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_middle_force_sensor_1.STL,,中节传感_R_R-2,r_middle_force_sensor_1,,right_middle_force_sensor_1_joint,fixed,0.012046,0.019649,0.006651,0.21209,1.5708,0,right_middle_1,0,0,0,,,,,,,,,,,,
right_ring_1,0.0021941746524699,0.0127409362160862,0.0066494113506478,0,0,0,0.0182957328723894,3.0553610682591E-06,-1.98143003692426E-07,2.76207978458813E-11,1.48580464758665E-06,-6.65343105981675E-11,3.17206316407759E-06,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_ring_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://RH56E2_R_2026_1_5/meshes/right_ring_1.STL,,中节组合_R_R-5,l_9,a_9,right_ring_1_joint,revolute,0.00056467,-0.0045302,0.15683,1.6232,0,0,r_base_link,0,0,1,1,2,0,1,,,,,,,,
